party_code,party_name,description
1,INC,Indian National Congress
2,BJP,Bharatiya Janata Party
3,JD(U),Janata Dal (United)
4,CPI,Communist Party of India
5,CPM,Communist Party of India(Marx.)
6,BSP,Bahujan Samaj party
7,JD,Janata Dal
8,Independent,Independent
9,BLD,Bhartiya Lok Dal
10,NCO,Indian National Congress (Org.)
11,INC(U),Indian National Congress (Urs)
12,ICS,Indian National Congress (Socialist)
13,INC(T),Indian National Congress (Tiwari)
14,SWA,Swatantra Party
15,AITC,Trinamul Congress
16,NCP,Nationalist Congress
17,RLD,Rashtriya Lok Dal (AJIT SINGH)
18,TMC(M),Tamil Maanila Congress(Moopnar)
19,LT CONG,Lok Tantric Congress
20,ABHM,Akhil Bharat Hindu Mahasabha
21,SHS,Shivsena
22,AAP,Aam Admi Party
25,AIIC(S),All India Indira Congress(Secular)
26,MUL,Muslim League
27,IUML,Indian Union Muslim League
31,JD(S),Janata Dal(Secular)
32,SJP,Samajvadi Janata Party
33,SP,Samajvadi(Mulayam)
34,SAP,Samata Party
35,JD(S),Janata Dal (Samajvadi)
36,SMT(S),Samata Party (S)
37,JNP(JP),Janata Party (JP)
38,LD,Lok Dal/Lok Dal(Bahuguna)
39,JNP,Janata Party
41,RSP,Revolutionary Socialist Party
42,CPIML(L),Communist Party of India (Marxist-Leninist)
43,M-COR,Marxist Co-ordination Committee
44,FBL,Forward Bloc
50,RPI,Republican Party of India
51,RPKH,Republican Party of India (Khobragade)
52,HVC,Himachal Vikas Congress
54,JNP(SC),Janata Party (Secular) Charan Singh
55,JNP(SR),Janata Party (Secular) Raj Narain
60,JKNC,Jammu & Kashmir National Conference
61,VHP,Vishal Haryana Party
62,SAD,Shiromani Akali Dal/Shiromani Akali Dal(Badal)
63,SAD(M),Shiromani Akali Dal (Mann)
64,SAD(T),Shiromani Akali Dal (Tohra)
65,JMM,Jharkhand Mukti Morcha
66,HVP,Haryana Vikas Party
67,HLS,Haryana Lok Samiti
68,INLD,Haryana Lok Dal(Rastriya)/Indian National Lok Dal
69,HJCBL,Haryana Janhit Congress (BL)
70,PWP,Peasants & Workers Party of India
71,MAG,Maharashtrawadi Gomantak
72,UGDP,United Goan Democratic Party
73,JD(G),Janata Dal (Gujarat)
74,GSRP,Goa su-raj Party
75,GVP,Goa Vikas Party
76,EIT,Eastern India Tribal Union
77,JVM,Jharkhand Vikas Morcha
80,AIADMK,All India Anna Dravida Munnetra Kazhagam
81,DMK,Dravida Munnetra Kazhagam
82,TDP,Telugu Desam/Telugu Desam(NAIDU)
83,KEC,Kerala Congress
84,KCJ,Kerala Congress (J)
85,TDP(LP),Telugu Desam(Parvathi)
86,PMK,Pattali Makkal Katchi
87,KRCP,Karnataka Congress Party (Bangaprappa)
88,ATDP,Anna Telugu Desam
89,AHL,All Party Hill Leader's Conference
90,AGP,Asom Gana Parisad
91,AGP (P),Asom Gana Parisad (Pragtisheel)
92,MPP,Manipur People's Party
93,MNF,Mizo National Front
94,NPC,Nagaland People's Council
95,SSP,Sikkim Sangram Parishad
96,SDF,Sikkim Democratic Front
97,TUJS,Tripura Upjati Juba Samiti
98,PPA,Peoples Party of Arunachal
101,DDP,Door Darshi Party
102,BKUS,Bharatiya Krishi Udyog Sangh
110,ICJ,Indian National Congress (J)
111,ICJ(TG),Indian National Congress (J) - Trikha Group
112,DBSM,Democratic Bahujan Samaj Morcha
120,RRP,Ram Rajya Parisad
121,HSS,Hindu Swaraj Sangathan
122,BJS,Bharatiya Jan Sangh
125,AIMIM,All India Majlist-E-Ittehadul Muslimeen
126,MUM,Muslim Majlis
127,MLO,Muslim League (Opposition)
128,IAL,Indian Awami League
140,SUCI,Socialist Unity Centre of India
141,FBM,Forward Bloc Marxist
142,MCPI(S),Marxist Communist Party of India (Srivastava)
143,PBI,Proutist Bloc of India
144,SOP,Socialist Party
145,SOP(L),Socialist Party (Lohia)
146,SOP(RP),Socialist Party (Ramakant Pandey)
147,PSP,Praja Socialist Party
149,SSOP,Samyukta Socialist Party
150,RPI(A),Republican Party of India (A)
151,RPPI,Republican Party of India (Gavai Group)
152,BRP,Bharatiya Republican Paksha
153,RPI(K),Republican Party of India (Kamble)
154,RPPI,Republican Presidium Party of India
155,DMM,All India Dalit Muslim Minorities Suraksha Mahasanga
156,BMP,Bahujan Mukti Party
220,JKPC,Jammu & Kashmir Peoples Conference
221,JPP,Jammu & Kashmir Panthers Party
222,JKP,All India Jharkhand Party
223,JKAL,Jammu & Kashmir Awami League
224,JMI,Jamait-I-Islami
225,JKPDP,Jammu & Kashmir Peoples Democratic Party
226,JKANC,Jammu & Kashmir Awami National Conference
227,JKNPP,Jammu & Kashmir National Panthers Party
228,DM,Democratic Movement
230,LJNSP,Lok Jan shakti Party
231,LMHP,Loktantrik Morcha Himachal Pradesh
232,MGJP,Maha Gujrat Janata Party
233,ES,Ekta Shakti
234,SBP,Smast Bharatiya Party
235,SWJP,Samajwadi Jan Parishad
236,RKSP,Rashtriya Krantikari Samajwadi Party
240,JAP,Jan Parishad
241,RNP,Rashtriya Nayay Party
250,PNF,Punjab Naya Front
251,ILP,Indian Labour Party
252,PKD,Punjab Kairon Dal
253,INP,Indian National Party
254,BJMD,All India Shiromani Baba Jiwan Singh Mazhbi Dal
255,PPP,Punjab Peoples Party
256,IGC,All India Garib Congress
257,BSP(A),Bahujan Samaj Party(Ambedkar)
258,PVP,Punjab Vikas Party/Purvanchal Vikas Party
259,LHP,Lok Hit Adkhari Party
260,UCPI,United Communist Party Of India
261,SAD(K),Shiromani Akali Dal(Kabul)
262,LPSP,Lokpriya Samaj Party
270,PDL,Pandal Dal
271,JKMP,Jawan Kisan Mazdoor Party
272,RKD,Rashtriya Krantikari Dal
273,SJJP,Sarv Jati Janata Panchayat
274,HBHP,Haryana Bhumi Heen Party
275,BHJS,BhumiJotak Samooh Party
276,JSTP,Jan Satta Party
277,BKDJ,Bahujan Kranti dal(Jai)
279,JHM,Jan Morcha Party / Jan Hit Morcha
280,AUM,All India Urdu Morcha
281,AZP,Azad Party
282,BLMD,Bharatiya Loktantrik Mazdoor Dal
283,BSNP,Bhartiya Sangthit Nagrik Party
284,DBP,Desh Bhakt Party
285,DND,Akhil Bhartiya Dharmnirpeksh Dal
286,HSD,Akhil Bhartiya Hindu Shakti Dal
287,JC,Janata Congress Party of Bharatvarsha
288,JEM,Jan Ekta Morcha
289,KMS,All India Kisan Mazdoor Sabha
290,LHS,Lokhit Morcha
291,LPI(V),Labour Party of India (V. V. Prasad)
292,MB,Mukt Bharat
293,PRC,Poorvanchal Rashtriya Congress
294,RVD,Rashtriya Unnatsheel Dal
295,RSDP,Rashtriya Samdarshi Party
296,PDI,People's Democracy of India
297,LMS,Bharatiya Loktantrik Mazdoor Sangh
298,PPI,People Party of India
299,KMP,Uttar Pradesh Kisan Mazdoor Party
300,ARS,Arya Sabha
301,LSS,Lok Sevak Sangh
310,AHF,Azad Hind Fauz (Rajkiya)
